10:03:21 02/11 | INFO    | connect                        | LCU API is connected
10:04:31 02/11 | INFO    | connect                        | LCU API is connected
10:10:16 02/11 | INFO    | connect                        | LCU API is connected
10:10:25 02/11 | INFO    | connect                        | LCU API is connected
10:10:26 02/11 | INFO    | connect                        | LCU API is connected
10:10:42 02/11 | INFO    | connect                        | LCU API is connected
13:50:01 02/11 | INFO    | connect                        | LCU API is connected
13:59:28 02/11 | INFO    | connect                        | LCU API is connected
14:18:04 02/11 | INFO    | connect                        | LCU API is connected
14:18:06 02/11 | INFO    | connect                        | LCU API is connected
14:18:46 02/11 | INFO    | connect                        | LCU API is connected
14:24:23 02/11 | INFO    | connect                        | LCU API is connected
14:24:38 02/11 | INFO    | connect                        | LCU API is connected
14:25:00 02/11 | INFO    | connect                        | LCU API is connected
14:25:17 02/11 | INFO    | connect                        | LCU API is connected
14:27:12 02/11 | INFO    | connect                        | LCU API is connected
14:27:43 02/11 | INFO    | connect                        | LCU API is connected
14:29:05 02/11 | INFO    | connect                        | LCU API is connected
14:29:18 02/11 | INFO    | connect                        | LCU API is connected
14:29:44 02/11 | INFO    | connect                        | LCU API is connected
14:29:49 02/11 | INFO    | connect                        | LCU API is connected
14:37:52 02/11 | INFO    | connect                        | LCU API is connected
14:38:12 02/11 | INFO    | connect                        | LCU API is connected
14:40:56 02/11 | INFO    | connect                        | LCU API is connected
14:41:12 02/11 | INFO    | connect                        | LCU API is connected
14:41:21 02/11 | INFO    | connect                        | LCU API is connected
14:41:40 02/11 | INFO    | connect                        | LCU API is connected
14:41:41 02/11 | INFO    | connect                        | LCU API is connected
14:41:42 02/11 | INFO    | connect                        | LCU API is connected
14:41:43 02/11 | INFO    | connect                        | LCU API is connected
14:41:46 02/11 | INFO    | connect                        | LCU API is connected
14:41:47 02/11 | INFO    | connect                        | LCU API is connected
14:43:01 02/11 | INFO    | connect                        | LCU API is connected
14:43:03 02/11 | INFO    | connect                        | LCU API is connected
14:43:04 02/11 | INFO    | connect                        | LCU API is connected
14:43:06 02/11 | INFO    | connect                        | LCU API is connected
14:43:06 02/11 | INFO    | connect                        | LCU API is connected
14:43:09 02/11 | INFO    | connect                        | LCU API is connected
14:43:14 02/11 | INFO    | connect                        | LCU API is connected
14:44:57 02/11 | INFO    | connect                        | LCU API is connected
14:44:58 02/11 | INFO    | connect                        | LCU API is connected
14:45:01 02/11 | INFO    | connect                        | LCU API is connected
14:45:02 02/11 | INFO    | connect                        | LCU API is connected
14:45:03 02/11 | INFO    | connect                        | LCU API is connected
14:45:39 02/11 | INFO    | connect                        | LCU API is connected
14:45:44 02/11 | INFO    | connect                        | LCU API is connected
14:48:23 02/11 | INFO    | connect                        | LCU API is connected
14:48:29 02/11 | INFO    | connect                        | LCU API is connected
14:48:30 02/11 | INFO    | connect                        | LCU API is connected
14:48:31 02/11 | INFO    | connect                        | LCU API is connected
15:05:39 02/11 | INFO    | connect                        | LCU API is connected
15:05:40 02/11 | INFO    | callback                       | Icon with Id=15 was set correctly.
15:05:48 02/11 | INFO    | connect                        | LCU API is connected
15:05:48 02/11 | INFO    | callback                       | Icon with Id=28 was set correctly.
15:09:05 02/11 | INFO    | connect                        | LCU API is connected
15:09:05 02/11 | INFO    | callback                       | Icon with Id=9 was set correctly.
15:21:39 02/11 | INFO    | connect                        | LCU API is connected
15:21:40 02/11 | INFO    | callback                       | Icon with Id=5 was set correctly.
15:24:57 02/11 | INFO    | connect                        | LCU API is connected
15:24:58 02/11 | INFO    | callback                       | Icon with Id=9 was set correctly.
15:25:39 02/11 | INFO    | connect                        | LCU API is connected
15:25:40 02/11 | INFO    | callback                       | Icon with Id=7 was set correctly.
15:25:46 02/11 | INFO    | connect                        | LCU API is connected
15:25:46 02/11 | INFO    | callback                       | Icon with Id=20 was set correctly.
15:35:39 02/11 | INFO    | connect                        | LCU API is connected
15:35:39 02/11 | INFO    | callback                       | Icon with Id=12 was set correctly.
15:35:41 02/11 | INFO    | connect                        | LCU API is connected
15:35:42 02/11 | INFO    | callback                       | Icon with Id=15 was set correctly.
15:36:02 02/11 | INFO    | connect                        | LCU API is connected
15:36:02 02/11 | INFO    | callback                       | Icon with Id=13 was set correctly.
15:38:53 02/11 | INFO    | connect                        | LCU API is connected
15:38:54 02/11 | INFO    | callback                       | Icon with Id=19 was set correctly.
15:47:23 02/11 | INFO    | connect                        | LCU API is connected
15:47:38 02/11 | INFO    | connect                        | LCU API is connected
15:50:02 02/11 | INFO    | connect                        | LCU API is connected
15:50:03 02/11 | INFO    | callback                       | Icon with Id=6 was set correctly.
15:50:17 02/11 | INFO    | connect                        | LCU API is connected
15:50:19 02/11 | INFO    | connect                        | LCU API is connected
15:53:38 02/11 | INFO    | connect                        | LCU API is connected
17:40:00 02/11 | INFO    | connect                        | LCU API is connected
17:40:01 02/11 | INFO    | callback                       | Icon with Id=8 was set correctly.
17:44:43 02/11 | INFO    | connect                        | LCU API is connected
17:44:45 02/11 | INFO    | connect                        | LCU API is connected
17:44:47 02/11 | INFO    | connect                        | LCU API is connected
17:44:47 02/11 | INFO    | callback                       | Icon with Id=18 was set correctly.
17:45:16 02/11 | INFO    | connect                        | LCU API is connected
17:45:17 02/11 | INFO    | connect                        | LCU API is connected
17:45:19 02/11 | INFO    | connect                        | LCU API is connected
17:45:23 02/11 | INFO    | connect                        | LCU API is connected
17:45:27 02/11 | INFO    | connect                        | LCU API is connected
17:45:29 02/11 | INFO    | connect                        | LCU API is connected
17:45:30 02/11 | INFO    | connect                        | LCU API is connected
17:45:31 02/11 | INFO    | connect                        | LCU API is connected
17:45:31 02/11 | INFO    | connect                        | LCU API is connected
17:45:32 02/11 | INFO    | connect                        | LCU API is connected
17:45:33 02/11 | INFO    | connect                        | LCU API is connected
17:45:34 02/11 | INFO    | connect                        | LCU API is connected
17:45:35 02/11 | INFO    | connect                        | LCU API is connected
17:45:36 02/11 | INFO    | connect                        | LCU API is connected
17:45:36 02/11 | INFO    | connect                        | LCU API is connected
17:45:37 02/11 | INFO    | connect                        | LCU API is connected
17:45:38 02/11 | INFO    | connect                        | LCU API is connected
17:45:39 02/11 | INFO    | connect                        | LCU API is connected
17:45:40 02/11 | INFO    | connect                        | LCU API is connected
17:45:41 02/11 | INFO    | connect                        | LCU API is connected
17:45:42 02/11 | INFO    | connect                        | LCU API is connected
17:45:43 02/11 | INFO    | connect                        | LCU API is connected
17:45:44 02/11 | INFO    | connect                        | LCU API is connected
17:45:44 02/11 | INFO    | connect                        | LCU API is connected
17:45:45 02/11 | INFO    | connect                        | LCU API is connected
17:45:46 02/11 | INFO    | connect                        | LCU API is connected
17:45:46 02/11 | INFO    | connect                        | LCU API is connected
17:45:47 02/11 | INFO    | connect                        | LCU API is connected
17:45:47 02/11 | INFO    | connect                        | LCU API is connected
17:45:48 02/11 | INFO    | connect                        | LCU API is connected
17:45:49 02/11 | INFO    | connect                        | LCU API is connected
17:45:49 02/11 | INFO    | connect                        | LCU API is connected
17:45:50 02/11 | INFO    | connect                        | LCU API is connected
17:45:50 02/11 | INFO    | connect                        | LCU API is connected
17:45:51 02/11 | INFO    | connect                        | LCU API is connected
